# x Ошибка_Явный Эйлер Ошибка_Неявный Эйлер Ошибка_Хойн Ошибка_Эйлера-Коши Ошибка_Рунге-Кутта 4 Ошибка_Трапеций 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.250000 0.002596 0.005509 0.000656 0.001209 0.000004 0.001331 
0.500000 0.012965 0.020485 0.001531 0.001911 0.000006 0.002745 
0.750000 0.031743 0.047273 0.002892 0.001769 0.000010 0.004329 
1.000000 0.060494 0.088727 0.004997 0.000487 0.000017 0.006174 
1.250000 0.101697 0.146861 0.008082 0.002192 0.000030 0.008362 
1.500000 0.158730 0.220521 0.012337 0.006455 0.000054 0.010949 
1.750000 0.235806 0.303175 0.017837 0.012358 0.000089 0.013916 
2.000000 0.337841 0.382913 0.024438 0.019725 0.000134 0.017124 
2.250000 0.470363 0.445765 0.031670 0.028040 0.000184 0.020269 
2.500000 0.639725 0.480611 0.038682 0.036405 0.000232 0.022900 
2.750000 0.854276 0.482685 0.044350 0.043656 0.000271 0.024512 
3.000000 1.127699 0.454109 0.047585 0.048667 0.000295 0.024711 
3.250000 1.487228 0.402042 0.047752 0.050756 0.000299 0.023386 
3.500000 1.994018 0.335903 0.044981 0.049966 0.000286 0.020772 
3.750000 2.799842 0.264877 0.040136 0.047025 0.000261 0.017377 
4.000000 4.339652 0.196279 0.034441 0.042979 0.000232 0.013803 
