# x1 x2 f1 f2
-3.919192 -0.282828 2.932204 51.172296
-3.919192 -0.202020 2.893024 50.714014
-3.919192 -0.121212 2.866904 50.216553
-3.919192 -0.040404 2.853844 49.679911
-3.919192 0.040404 2.853844 49.104090
-3.919192 0.121212 2.866904 48.489090
-3.919192 0.202020 2.893024 47.834909
-3.919192 0.282828 2.932204 47.141550
-3.919192 0.363636 2.984443 46.409010
-3.919192 0.444444 3.049743 45.637291
-3.919192 0.525253 3.128102 44.826392
-3.919192 0.606061 3.219521 43.976313
-3.919192 0.686869 3.324000 43.087055
-3.919192 0.767677 3.441540 42.158617
-3.919192 0.848485 3.572138 41.190999
-3.919192 0.929293 3.715797 40.184202
-3.919192 1.010101 3.872516 39.138225
-3.919192 1.090909 4.042295 38.053068
-3.919192 1.171717 4.225133 36.928731
-3.919192 1.252525 4.421031 35.765215
-3.919192 1.333333 4.629990 34.562520
-3.919192 1.414141 4.852008 33.320644
-3.919192 1.494949 5.087086 32.039589
-3.919192 1.575758 5.335224 30.719354
-3.919192 1.656566 5.596422 29.359940
-3.919192 1.737374 5.870679 27.961346
-3.919192 1.818182 6.157997 26.523572
-3.919192 1.898990 6.458375 25.046619
-3.919192 1.979798 6.771812 23.530485
-3.919192 2.060606 7.098309 21.975173
-3.919192 2.141414 7.437866 20.380680
-3.919192 2.222222 7.790484 18.747008
-3.919192 2.303030 8.156160 17.074156
-3.919192 2.383838 8.534897 15.362125
-3.919192 2.464646 8.926694 13.610913
-3.919192 2.545455 9.331551 11.820523
-3.919192 2.626263 9.749467 9.990952
-3.919192 2.707071 10.180444 8.122202
-3.919192 2.787879 10.624480 6.214272
-3.919192 2.868687 11.081576 4.267162
-3.919192 2.949495 11.551732 2.280873
-3.919192 3.030303 12.034948 0.255404
-3.919192 3.111111 12.531224 -1.809244
-3.919192 3.191919 13.040560 -3.913073
-3.919192 3.272727 13.562956 -6.056081
-3.919192 3.353535 14.098411 -8.238268
-3.919192 3.434343 14.646927 -10.459636
-3.919192 3.515152 15.208502 -12.720183
-3.919192 3.595960 15.783137 -15.019909
-3.919192 3.676768 16.370832 -17.358816
-3.919192 3.757576 16.971587 -19.736902
-3.919192 3.838384 17.585402 -22.154167
-3.919192 3.919192 18.212277 -24.610613
-3.919192 4.000000 18.852212 -27.106238

-3.838384 -4.000000 18.524390 27.459365
-3.838384 -3.919192 17.884455 28.820797
-3.838384 -3.838384 17.257580 30.143048
-3.838384 -3.757576 16.643765 31.426121
-3.838384 -3.676768 16.043010 32.670013
-3.838384 -3.595960 15.455315 33.874726
-3.838384 -3.515152 14.880680 35.040259
-3.838384 -3.434343 14.319105 36.166612
-3.838384 -3.353535 13.770589 37.253786
-3.838384 -3.272727 13.235134 38.301780
-3.838384 -3.191919 12.712738 39.310594
-3.838384 -3.111111 12.203402 40.280229
-3.838384 -3.030303 11.707126 41.210683
-3.838384 -2.949495 11.223910 42.101959
-3.838384 -2.868687 10.753754 42.954054
-3.838384 -2.787879 10.296658 43.766970
-3.838384 -2.707071 9.852622 44.540707
-3.838384 -2.626263 9.421645 45.275263
-3.838384 -2.545455 9.003729 45.970640
-3.838384 -2.464646 8.598872 46.626837
-3.838384 -2.383838 8.207075 47.243855
-3.838384 -2.303030 7.828338 47.821693
-3.838384 -2.222222 7.462661 48.360351
-3.838384 -2.141414 7.110044 48.859830
-3.838384 -2.060606 6.770487 49.320128
-3.838384 -1.979798 6.443990 49.741248
-3.838384 -1.898990 6.130552 50.123187
-3.838384 -1.818182 5.830175 50.465947
-3.838384 -1.737374 5.542857 50.769527
-3.838384 -1.656566 5.268600 51.033928
-3.838384 -1.575758 5.007402 51.259148
-3.838384 -1.494949 4.759264 51.445189
-3.838384 -1.414141 4.524186 51.592051
-3.838384 -1.333333 4.302168 51.699733
-3.838384 -1.252525 4.093209 51.768235
-3.838384 -1.171717 3.897311 51.797557
-3.838384 -1.090909 3.714472 51.787700
-3.838384 -1.010101 3.544694 51.738663
-3.838384 -0.929293 3.387975 51.650446
-3.838384 -0.848485 3.244316 51.523050
-3.838384 -0.767677 3.113717 51.356474
-3.838384 -0.686869 2.996178 51.150719
-3.838384 -0.606061 2.891699 50.905783
-3.838384 -0.525253 2.800280 50.621668
-3.838384 -0.444444 2.721921 50.298374
-3.838384 -0.363636 2.656621 49.935899
-3.838384 -0.282828 2.604382 49.534245
-3.838384 -0.202020 2.565202 49.093412
-3.838384 -0.121212 2.539082 48.613398
-3.838384 -0.040404 2.526022 48.094205
-3.838384 0.040404 2.526022 47.535833
-3.838384 0.121212 2.539082 46.938280
-3.838384 0.202020 2.565202 46.301548
