# x1 x2 f1 f2
-2.929293 0.252525 0.698069 30.454794
-2.929293 0.323232 0.738779 29.987540
-2.929293 0.393939 0.789488 29.490288
-2.929293 0.464646 0.850196 28.963040
-2.929293 0.535354 0.920903 28.405795
-2.929293 0.606061 1.001609 27.818553
-2.929293 0.676768 1.092314 27.201314
-2.929293 0.747475 1.193018 26.554079
-2.929293 0.818182 1.303721 25.876846
-2.929293 0.888889 1.424423 25.169616
-2.929293 0.959596 1.555124 24.432389
-2.929293 1.030303 1.695824 23.665166
-2.929293 1.101010 1.846523 22.867945
-2.929293 1.171717 2.007221 22.040728
-2.929293 1.242424 2.177918 21.183513
-2.929293 1.313131 2.358614 20.296302
-2.929293 1.383838 2.549308 19.379094
-2.929293 1.454545 2.750002 18.431888
-2.929293 1.525253 2.960695 17.454686
-2.929293 1.595960 3.181387 16.447487
-2.929293 1.666667 3.412078 15.410291
-2.929293 1.737374 3.652767 14.343098
-2.929293 1.808081 3.903456 13.245908
-2.929293 1.878788 4.164144 12.118721
-2.929293 1.949495 4.434830 10.961537
-2.929293 2.020202 4.715516 9.774357
-2.929293 2.090909 5.006201 8.557179
-2.929293 2.161616 5.306884 7.310004
-2.929293 2.232323 5.617567 6.032833
-2.929293 2.303030 5.938248 4.725664
-2.929293 2.373737 6.268929 3.388499
-2.929293 2.444444 6.609608 2.021336
-2.929293 2.515152 6.960287 0.624177
-2.929293 2.585859 7.320964 -0.802979
-2.929293 2.656566 7.691641 -2.260132
-2.929293 2.727273 8.072316 -3.747283
-2.929293 2.797980 8.462991 -5.264430
-2.929293 2.868687 8.863664 -6.811574
-2.929293 2.939394 9.274337 -8.388715
-2.929293 3.010101 9.695008 -9.995853
-2.929293 3.080808 10.125678 -11.632987
-2.929293 3.151515 10.566348 -13.300119
-2.929293 3.222222 11.017016 -14.997248
-2.929293 3.292929 11.477683 -16.724374
-2.929293 3.363636 11.948349 -18.481496
-2.929293 3.434343 12.429015 -20.268616
-2.929293 3.505051 12.919679 -22.085732
-2.929293 3.575758 13.420342 -23.932846
-2.929293 3.646465 13.931004 -25.809956
-2.929293 3.717172 14.451665 -27.717063
-2.929293 3.787879 14.982326 -29.654168
-2.929293 3.858586 15.522985 -31.621269
-2.929293 3.929293 16.073643 -33.618367
-2.929293 4.000000 16.634300 -35.645462

-2.858586 -3.000000 9.567734 18.048224
-2.858586 -2.929293 9.148491 18.969603
