# ИСХОДНЫЕ ТОЧКИ
2.240780 -10.708345
2.247440 -10.633132
2.254100 -10.541631
2.260760 -10.433842
2.267420 -10.309766
2.274080 -10.169402
2.280740 -10.012749
2.287400 -9.839809
2.294060 -9.650581
2.300720 -9.445065
2.307380 -9.223261
2.314040 -8.985170
2.320700 -8.730790
2.327360 -8.460122
2.334020 -8.173167
2.340680 -7.869924
2.347340 -7.550392
2.354000 -7.214573
2.354000 -7.214573
2.362140 -6.798261
2.370280 -6.390123
2.378420 -5.990160
2.386560 -5.598371
2.394700 -5.214756
2.402840 -4.839316
2.410980 -4.472050
2.419120 -4.112958
2.427260 -3.762040
2.435400 -3.419297
2.443540 -3.084729
2.451680 -2.758334
2.459820 -2.440114
2.467960 -2.130068
2.476100 -1.828197
2.484240 -1.534500
2.492380 -1.248977
2.500520 -0.971629
2.508660 -0.702455
2.516800 -0.441455
2.524940 -0.188630
2.533080 0.056021
2.541220 0.292498
2.549360 0.520800
2.557500 0.740928
2.565640 0.952882
2.573780 1.156661
2.581920 1.352266
2.590060 1.539697
2.598200 1.718953
2.606340 1.890035
2.614480 2.052943
2.622620 2.207676
2.630760 2.354235
2.638900 2.492620
2.647040 2.622830
2.655180 2.744866
2.663320 2.858728
2.671460 2.964415
2.679600 3.061928
2.687740 3.151267
2.695880 3.232431
2.704020 3.305421
2.712160 3.370237
2.720300 3.426878
2.728440 3.475345
2.736580 3.515637
2.744720 3.547756
2.752860 3.571700
2.761000 3.587469
2.761000 3.587469
2.769880 3.600086
2.778760 3.612447
2.787640 3.624552
2.796520 3.636402
2.805400 3.647996
2.814280 3.659334
2.823160 3.670416
2.832040 3.681243
2.840920 3.691814
2.849800 3.702130
2.858680 3.712190
2.867560 3.721994
2.876440 3.731543
2.885320 3.740835
2.894200 3.749873
2.903080 3.758654
2.911960 3.767180
2.920840 3.775450
2.929720 3.783465
2.938600 3.791223
2.947480 3.798726
2.956360 3.805974
2.965240 3.812966
2.974120 3.819702
2.983000 3.826182
2.991880 3.832407
3.000760 3.838376
3.009640 3.844090
3.018520 3.849547
3.027400 3.854749
3.036280 3.859696
3.045160 3.864386
3.054040 3.868821
3.062920 3.873001
3.071800 3.876925
3.080680 3.880593
3.089560 3.884005
3.098440 3.887162
3.107320 3.890063
3.116200 3.892708
3.125080 3.895098
3.133960 3.897232
3.142840 3.899110
3.151720 3.900732
3.160600 3.902099
3.169480 3.903211
3.178360 3.904066
3.187240 3.904666
3.196120 3.905010
3.205000 3.905099
3.205000 3.905099
3.210180 3.903963
3.215360 3.900600
3.220540 3.895011
3.225720 3.887196
3.230900 3.877154
3.236080 3.864885
3.241260 3.850390
3.246440 3.833669
3.251620 3.814721
3.256800 3.793547
3.261980 3.770146
3.267160 3.744519
3.272340 3.716665
3.277520 3.686585
3.282700 3.654279
3.287880 3.619745
3.293060 3.582986
3.298240 3.544000
3.303420 3.502788
3.308600 3.459349
3.313780 3.413683
3.318960 3.365791
3.324140 3.315673
3.329320 3.263328
3.334500 3.208757
3.339680 3.151959
3.344860 3.092935
3.350040 3.031685
3.355220 2.968208
3.360400 2.902504
3.365580 2.834574
3.370760 2.764418
3.375940 2.692035
3.381120 2.617425
3.386300 2.540589
3.391480 2.461527
3.396660 2.380238
3.401840 2.296723
3.407020 2.210981
3.412200 2.123013
3.417380 2.032819
3.422560 1.940398
3.427740 1.845750
3.432920 1.748876
3.438100 1.649776
3.443280 1.548449
3.448460 1.444895
3.453640 1.339115
3.458820 1.231109
3.464000 1.120876
3.464000 1.120876
3.469920 0.994896
3.475840 0.871461
3.481760 0.750571
3.487680 0.632226
3.493600 0.516427
3.499520 0.403172
3.505440 0.292462
3.511360 0.184297
3.517280 0.078678
3.523200 -0.024397
3.529120 -0.124926
3.535040 -0.222911
3.540960 -0.318350
3.546880 -0.411245
3.552800 -0.501594
3.558720 -0.589398
3.564640 -0.674658
3.570560 -0.757372
3.576480 -0.837541
3.582400 -0.915165
3.588320 -0.990244
3.594240 -1.062778
3.600160 -1.132767
3.606080 -1.200211
3.612000 -1.265110
3.617920 -1.327463
3.623840 -1.387272
3.629760 -1.444536
3.635680 -1.499254
3.641600 -1.551428
3.647520 -1.601056
3.653440 -1.648140
3.659360 -1.692678
3.665280 -1.734672
3.671200 -1.774120
3.677120 -1.811023
3.683040 -1.845381
3.688960 -1.877194
3.694880 -1.906463
3.700800 -1.933186
3.706720 -1.957364
3.712640 -1.978997
3.718560 -1.998084
3.724480 -2.014627
3.730400 -2.028625
3.736320 -2.040078
3.742240 -2.048985
3.748160 -2.055348
3.754080 -2.059166
3.760000 -2.060438


# ТОЧКА ИНТЕРПОЛЯЦИИ
1.285000 -0.442071
