# ИСХОДНЫЕ ТОЧКИ
1.012750 11.896385
1.016080 12.422703
1.019410 12.949020
1.022740 13.475338
1.026070 14.001655
1.029400 14.527973
1.032730 15.054291
1.036060 15.580608
1.039390 16.106926
1.042720 16.633244
1.046050 17.159561
1.049380 17.685879
1.052710 18.212197
1.056040 18.738514
1.059370 19.264832
1.062700 19.791150
1.066030 20.317467
1.069360 20.843785
1.072690 21.370103
1.076020 21.896420
1.079350 22.422738
1.082680 22.949055
1.086010 23.475373
1.089340 24.001691
1.092670 24.528008
1.096000 25.054326
1.096000 25.054326
1.100440 25.077122
1.104880 25.099918
1.109320 25.122713
1.113760 25.145509
1.118200 25.168305
1.122640 25.191101
1.127080 25.213896
1.131520 25.236692
1.135960 25.259488
1.140400 25.282284
1.144840 25.305079
1.149280 25.327875
1.153720 25.350671
1.158160 25.373466
1.162600 25.396262
1.167040 25.419058
1.171480 25.441854
1.175920 25.464649
1.180360 25.487445
1.184800 25.510241
1.189240 25.533037
1.193680 25.555832
1.198120 25.578628
1.202560 25.601424
1.207000 25.624220
1.211440 25.647015
1.215880 25.669811
1.220320 25.692607
1.224760 25.715403
1.229200 25.738198
1.233640 25.760994
1.238080 25.783790
1.242520 25.806586
1.246960 25.829381
1.251400 25.852177
1.255840 25.874973
1.260280 25.897769
1.264720 25.920564
1.269160 25.943360
1.273600 25.966156
1.278040 25.988952
1.282480 26.011747
1.286920 26.034543
1.291360 26.057339
1.295800 26.080135
1.300240 26.102930
1.304680 26.125726
1.309120 26.148522
1.313560 26.171318
1.318000 26.194113
1.322440 26.216909
1.326880 26.239705
1.331320 26.262500
1.335760 26.285296
1.340200 26.308092
1.344640 26.330888
1.349080 26.353683
1.353520 26.376479
1.357960 26.399275
1.362400 26.422071
1.366840 26.444866
1.371280 26.467662
1.375720 26.490458
1.380160 26.513254
1.384600 26.536049
1.389040 26.558845
1.393480 26.581641
1.397920 26.604437
1.402360 26.627232
1.406800 26.650028
1.411240 26.672824
1.415680 26.695620
1.420120 26.718415
1.424560 26.741211
1.429000 26.764007
1.433440 26.786803
1.437880 26.809598
1.442320 26.832394
1.446760 26.855190
1.451200 26.877986
1.455640 26.900781
1.460080 26.923577
1.464520 26.946373
1.468960 26.969169
1.473400 26.991964
1.477840 27.014760
1.482280 27.037556
1.486720 27.060352
1.491160 27.083147
1.495600 27.105943
1.500040 27.128739
1.504480 27.151534
1.508920 27.174330
1.513360 27.197126
1.517800 27.219922
1.522240 27.242717
1.526680 27.265513
1.531120 27.288309
1.535560 27.311105
1.540000 27.333900
1.540000 27.333900
1.544810 26.354208
1.549620 25.374515
1.554430 24.394822
1.559240 23.415129
1.564050 22.435436
1.568860 21.455743
1.573670 20.476050
1.578480 19.496358
1.583290 18.516665
1.588100 17.536972
1.592910 16.557279
1.597720 15.577586
1.602530 14.597893
1.607340 13.618200
1.612150 12.638508
1.616960 11.658815
1.621770 10.679122
1.626580 9.699429
1.631390 8.719736
1.636200 7.740043
1.641010 6.760350
1.645820 5.780658
1.650630 4.800965
1.655440 3.821272
1.660250 2.841579
1.665060 1.861886
1.669870 0.882193
1.674680 -0.097500
1.679490 -1.077192
1.684300 -2.056885
1.689110 -3.036578
1.693920 -4.016271
1.698730 -4.995964
1.703540 -5.975657
1.708350 -6.955350
1.713160 -7.935042
1.717970 -8.914735
1.722780 -9.894428
1.727590 -10.874121
1.732400 -11.853814
1.737210 -12.833507
1.742020 -13.813200
1.746830 -14.792892
1.751640 -15.772585
1.756450 -16.752278
1.761260 -17.731971
1.766070 -18.711664
1.770880 -19.691357
1.775690 -20.671050
1.780500 -21.650742
1.785310 -22.630435
1.790120 -23.610128
1.794930 -24.589821
1.799740 -25.569514
1.804550 -26.549207
1.809360 -27.528900
1.814170 -28.508592
1.818980 -29.488285
1.823790 -30.467978
1.828600 -31.447671
1.833410 -32.427364
1.838220 -33.407057
1.843030 -34.386750
1.847840 -35.366443
1.852650 -36.346135
1.857460 -37.325828
1.862270 -38.305521
1.867080 -39.285214
1.871890 -40.264907
1.876700 -41.244600
1.881510 -42.224293
1.886320 -43.203985
1.891130 -44.183678
1.895940 -45.163371
1.900750 -46.143064
1.905560 -47.122757
1.910370 -48.102450
1.915180 -49.082143
1.919990 -50.061835
1.924800 -51.041528
1.929610 -52.021221
1.934420 -53.000914
1.939230 -53.980607
1.944040 -54.960300
1.948850 -55.939993
1.953660 -56.919685
1.958470 -57.899378
1.963280 -58.879071
1.968090 -59.858764
1.972900 -60.838457
1.977710 -61.818150
1.982520 -62.797843
1.987330 -63.777535
1.992140 -64.757228
1.996950 -65.736921
2.001760 -66.716614
2.006570 -67.696307
2.011380 -68.676000
2.016190 -69.655693
2.021000 -70.635385
2.021000 -70.635385
2.024330 -69.412571
2.027660 -68.189756
2.030990 -66.966941
2.034320 -65.744126
2.037650 -64.521311
2.040980 -63.298496
2.044310 -62.075681
2.047640 -60.852866
2.050970 -59.630051
2.054300 -58.407236
2.057630 -57.184422
2.060960 -55.961607
2.064290 -54.738792
2.067620 -53.515977
2.070950 -52.293162
2.074280 -51.070347
2.077610 -49.847532
2.080940 -48.624717
2.084270 -47.401902
2.087600 -46.179087
2.090930 -44.956273
2.094260 -43.733458
2.097590 -42.510643
2.100920 -41.287828
2.104250 -40.065013
2.107580 -38.842198
2.110910 -37.619383
2.114240 -36.396568
2.117570 -35.173753
2.120900 -33.950939
2.124230 -32.728124
2.127560 -31.505309
2.130890 -30.282494
2.134220 -29.059679
2.137550 -27.836864
2.140880 -26.614049
2.144210 -25.391234
2.147540 -24.168419
2.150870 -22.945604
2.154200 -21.722790
2.157530 -20.499975
2.160860 -19.277160
2.164190 -18.054345
2.167520 -16.831530
2.170850 -15.608715
2.174180 -14.385900
2.177510 -13.163085
2.180840 -11.940270
2.184170 -10.717456
2.187500 -9.494641
2.190830 -8.271826
2.194160 -7.049011
2.197490 -5.826196
2.200820 -4.603381
2.204150 -3.380566
2.207480 -2.157751
2.210810 -0.934936
2.214140 0.287879
2.217470 1.510693
2.220800 2.733508
2.224130 3.956323
2.227460 5.179138
2.230790 6.401953
2.234120 7.624768
2.237450 8.847583
2.240780 10.070398
2.244110 11.293213
2.247440 12.516028
2.250770 13.738842
2.254100 14.961657
2.257430 16.184472
2.260760 17.407287
2.264090 18.630102
2.267420 19.852917
2.270750 21.075732
2.274080 22.298547
2.277410 23.521362
2.280740 24.744176
2.284070 25.966991
2.287400 27.189806
2.290730 28.412621
2.294060 29.635436
2.297390 30.858251
2.300720 32.081066
2.304050 33.303881
2.307380 34.526696
2.310710 35.749511
2.314040 36.972325
2.317370 38.195140
2.320700 39.417955
2.324030 40.640770
2.327360 41.863585
2.330690 43.086400
2.334020 44.309215
2.337350 45.532030
2.340680 46.754845
2.344010 47.977659
2.347340 49.200474
2.350670 50.423289
2.354000 51.646104
2.354000 51.646104
2.358070 51.143995
2.362140 50.641886
2.366210 50.139777
2.370280 49.637667
2.374350 49.135558
2.378420 48.633449
2.382490 48.131340
2.386560 47.629231
2.390630 47.127122
2.394700 46.625012
2.398770 46.122903
2.402840 45.620794
2.406910 45.118685
2.410980 44.616576
2.415050 44.114466
2.419120 43.612357
2.423190 43.110248
2.427260 42.608139
2.431330 42.106030
2.435400 41.603921
2.439470 41.101811
2.443540 40.599702
2.447610 40.097593
2.451680 39.595484
2.455750 39.093375
2.459820 38.591265
2.463890 38.089156
2.467960 37.587047
2.472030 37.084938
2.476100 36.582829
2.480170 36.080720
2.484240 35.578610
2.488310 35.076501
2.492380 34.574392
2.496450 34.072283
2.500520 33.570174
2.504590 33.068064
2.508660 32.565955
2.512730 32.063846
2.516800 31.561737
2.520870 31.059628
2.524940 30.557518
2.529010 30.055409
2.533080 29.553300
2.537150 29.051191
2.541220 28.549082
2.545290 28.046973
2.549360 27.544863
2.553430 27.042754
2.557500 26.540645
2.561570 26.038536
2.565640 25.536427
2.569710 25.034317
2.573780 24.532208
2.577850 24.030099
2.581920 23.527990
2.585990 23.025881
2.590060 22.523772
2.594130 22.021662
2.598200 21.519553
2.602270 21.017444
2.606340 20.515335
2.610410 20.013226
2.614480 19.511116
2.618550 19.009007
2.622620 18.506898
2.626690 18.004789
2.630760 17.502680
2.634830 17.000571
2.638900 16.498461
2.642970 15.996352
2.647040 15.494243
2.651110 14.992134
2.655180 14.490025
2.659250 13.987915
2.663320 13.485806
2.667390 12.983697
2.671460 12.481588
2.675530 11.979479
2.679600 11.477370
2.683670 10.975260
2.687740 10.473151
2.691810 9.971042
2.695880 9.468933
2.699950 8.966824
2.704020 8.464714
2.708090 7.962605
2.712160 7.460496
2.716230 6.958387
2.720300 6.456278
2.724370 5.954169
2.728440 5.452059
2.732510 4.949950
2.736580 4.447841
2.740650 3.945732
2.744720 3.443623
2.748790 2.941513
2.752860 2.439404
2.756930 1.937295
2.761000 1.435186
2.761000 1.435186
2.765440 1.420790
2.769880 1.406394
2.774320 1.391998
2.778760 1.377602
2.783200 1.363206
2.787640 1.348809
2.792080 1.334413
2.796520 1.320017
2.800960 1.305621
2.805400 1.291225
2.809840 1.276829
2.814280 1.262433
2.818720 1.248037
2.823160 1.233641
2.827600 1.219245
2.832040 1.204849
2.836480 1.190453
2.840920 1.176057
2.845360 1.161661
2.849800 1.147265
2.854240 1.132868
2.858680 1.118472
2.863120 1.104076
2.867560 1.089680
2.872000 1.075284
2.876440 1.060888
2.880880 1.046492
2.885320 1.032096
2.889760 1.017700
2.894200 1.003304
2.898640 0.988908
2.903080 0.974512
