# alpha   y(4.5)   целевое_значение
-50.000000   -433.288786   79.612000
-25.000000   -186.078689   79.612000
0.000000   61.131408   79.612000
10.000000   160.015446   79.612000
20.000000   258.899485   79.612000
30.000000   357.783524   79.612000
40.000000   456.667563   79.612000
50.000000   555.551602   79.612000
60.000000   654.435640   79.612000
70.000000   753.319679   79.612000
